id;nombre;nombre_tipo_articulo;id_familia;nombre_familia;id_marca;nombre_marca;moneda;nombre_moneda;tipo_igv;nombre_tipo_igv;nombre_unidad_medida;valor_compra_base;valor_venta_base;codigo_sunat;descripcion;especificacion_tecnica;stock_minimo;anio_garantia;stock_actual_empresa;formula;editar;eliminar
12915;"MONITOR 27"" EROS TE-X270FHD IPS FHD, 1920X1080, HDMI / VGA.";PRODUCTO;77;MONITOR;220;TEROS;12;SOLES;14;GRAVADO;UND;11.80;591.00;43210000;;;-100000;1;0.000;;;
12916;CASE GAMER HALION SCORPION 5961 400W 2X12 COLORES;PRODUCTO;24;CASE;15;HALION;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;45.01;43210000;;;-100000;1;0.000;;;
12917;AUDIFONO GAMING LOGITECH G233 PRODIGY CON MICR¢FONO EXTRA¡BLE 3.5MM, NEGRO / AZUL.;PRODUCTO;15;AUDIFONOS;4;LOGITECH;12;SOLES;14;GRAVADO;UND;11.80;209.00;43210000;;;-100000;1;0.000;;;
12918;"TABLET SAMSUNG GALAXY S2 BLACK 203.1MM (8.0"")32GB WIFI";PRODUCTO;92;TABLET;5;SAMSUNG;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;470.01;43210000;;;-100000;1;0.000;;;
12919;ROUTER  NEXXT AMP300 WIRELLESS N 300MBPS 4P 10/100 ARN020304UB;PRODUCTO;32;ROUTER;133;NEXXT;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;25.00;43210000;;;-100000;1;0.000;;;
12920;ROUTER NEXXT KRONOS 1200-AC AEIEL905U1 RFEPETIDOR  MOD.ROUTER N-WIRELESS;PRODUCTO;32;ROUTER;133;NEXXT;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;42.00;43210000;;;-100000;1;1.000;;;
12921;CAMARA WEBCAM LOGITECH C930E HD;PRODUCTO;52;CAMARA;4;LOGITECH;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;70.30;43210000;;;-100000;1;0.000;;;
12922;"TABLET LENOVO YOGA TAB3 10.1"" 2GB, 16GB ANDROID 6.0";PRODUCTO;92;TABLET;137;LENOVO;12;SOLES;14;GRAVADO;UNIDAD;11.80;1.00;43210000;;;-100000;1;0.000;;;
12923;TECLADO MICRONICS MIRAGE ( MIC K803 ) LED- 3 COLORES;PRODUCTO;18;TECLADO;56;MICRONICS;12;SOLES;14;GRAVADO;UND;11.80;46.00;43210000;;;-100000;1;0.000;;;
12924;"FUNDA TABLET 10"" SKILL STYLUS 2 EN 1 BLACK C/DISE¤O LETTERS ( AW-02110)";PRODUCTO;58;FUNDA;190;SKILL;13;DÓLARES;14;GRAVADO;UNIDAD;11.80;3.91;43210000;;;-100000;1;0.000;;;
